function,time,memory_mb
|****\ Sum fields,0.03300,47
|*****| Copy fields,0.03100,47
|****\ Sum fields,0.01400,1
|*****| Copy fields,0.01200,1
|****\ Sum fields,0.03200,1
|*****| Copy fields,0.01600,1
|****| Remove fields,0.01600,1
|***| Run single post processor,0.06300,5
|***| Add default exposure class,0.03200,11
|***| Check value mapping,0.00000,0
|**| From counts to ratios,0.21200,1
|**| Clip,0.03500,0
|**| Add default values,0.00200,0
|*\ Intersect exposure and aggregate hazard,1.02200,33
|**| Clean layer,0.07900,0
|**| Clean layer,0.14300,7
|**| Intersection,0.54000,17
|**| Recompute counts,0.25800,4
|*\ Post process,17.90500,41
|**| Run single post processor,0.00000,0
|**| Run single post processor,5.50100,91
|**| Run single post processor,10.41900,28
|**| Run single post processor,0.14100,2
|**| Run single post processor,0.11900,0
|**| Run single post processor,0.09900,0
|**| Run single post processor,0.07900,16
|**| Run single post processor,0.06700,7
|**| Run single post processor,0.05300,0
|**| Run single post processor,0.06000,1
|**| Run single post processor,0.07900,5
|**| Run single post processor,0.06300,2
|**| Run single post processor,0.04900,0
|**| Run single post processor,0.06400,0
|**| Run single post processor,0.06500,0
|**| Run single post processor,0.05900,0
|**| Run single post processor,0.06600,0
|**| Run single post processor,0.06200,1
|**| Run single post processor,0.06100,0
|**| Run single post processor,0.06300,4
|**| Run single post processor,0.05300,0
|**| Run single post processor,0.06300,5
|**| Run single post processor,0.06900,0
|**| Run single post processor,0.09000,0
|**| Run single post processor,0.06500,1
|**| Run single post processor,0.12200,2
|**| Run single post processor,0.06300,0
|**| Run single post processor,0.07700,0
|**| Run single post processor,0.06700,0
|*\ Summary calculation,3.43900,32
|**| Aggregate hazard summary,3.11900,34
|**| Aggregation summary,0.19500,1
|**| Analysis summary,0.09900,1
