function,time,memory_mb
|\ Run,20.36600,119
|*| Pre process,0.00000,0
|*\ Aggregation preparation,0.01800,0
|**\ Prepare vector layer,0.00000,0
|***| Create memory layer,0.00000,0
|***| Copy layer,0.00000,0
|***| Remove features,0.00000,0
|***| Add id column,0.00000,0
|***\ Clean inasafe fields,0.00000,0
|****\ Sum fields,0.00000,0
|*****| Copy fields,0.00000,0
|****| Sum fields,0.00000,0
|****| Remove fields,0.00000,0
|**\ Create analysis layer,0.00000,0
|***| Create memory layer,0.00000,0
|*\ Hazard preparation,0.57100,16
|**| Clip by extent,0.12600,14
|**| Reclassify,0.04700,0
|**| Polygonize,0.09600,4
|**| Clean layer,0.17500,5
|**| Clip,0.04800,0
|**\ Prepare vector layer,0.08000,1
|***| Create memory layer,0.00000,0
|***| Copy layer,0.03200,0
|***| Remove features,0.02200,1
|***| Add id column,0.01000,0
|***\ Clean inasafe fields,0.01600,0
|****\ Sum fields,0.00000,0
|*****| Copy fields,0.00000,0
|****| Sum fields,0.00000,0
|****| Remove fields,0.00000,0
|**\ Update value map,0.00000,0
|***| Remove fields,0.00000,0
|*\ Aggregate hazard preparation,2.08200,7
|**| Clean layer,0.11100,2
|**\ Union,1.97100,5
|***| Fill hazard class,0.00000,0
|*\ Exposure preparation,1.47300,3
|**\ Smart clip,0.10100,0
|***| Create memory layer,0.00000,0
|**\ Prepare vector layer,1.11000,1
|***| Create memory layer,0.00000,0
|***| Copy layer,0.06300,0
|***| Remove features,0.03300,3
|***| Add id column,0.00000,0
|***\ Clean inasafe fields,0.92600,1
|****| Sum fields,0.60500,1
|****\ Sum fields,0.01200,0
|*****| Copy fields,0.01000,0
|****\ Sum fields,0.04000,0
|*****| Copy fields,0.04000,0
|****\ Sum fields,0.02800,0
|*****| Copy fields,0.02600,0
|****\ Sum fields,0.02800,1
|*****| Copy fields,0.02600,1
|****\ Sum fields,0.02800,0
|*****| Copy fields,0.02600,0
|****\ Sum fields,0.02800,1
|*****| Copy fields,0.02800,1
|****\ Sum fields,0.02800,0
|*****| Copy fields,0.02800,0
|****\ Sum fields,0.02600,0
|*****| Copy fields,0.02400,0
|****\ Sum fields,0.01600,0
|*****| Copy fields,0.01600,0
|****\ Sum fields,0.03200,0
|*****| Copy fields,0.03200,0
|****\ Sum fields,0.03700,0
|*****| Copy fields,0.03700,0
|****| Remove fields,0.01000,0
|***| Run single post processor,0.06600,1
|***| Add default exposure class,0.02200,0
|***| Check value mapping,0.00000,0
|**| From counts to ratios,0.21300,4
|**| Clip,0.02500,0
|**| Add default values,0.01400,0
|*\ Intersect exposure and aggregate hazard,0.88900,4
|**| Clean layer,0.09100,1
|**| Clean layer,0.10000,1
|**| Intersection,0.41800,0
|**| Recompute counts,0.27800,4
|*\ Post process,9.65500,3
|**| Run single post processor,0.00000,0
|**| Run single post processor,3.75900,4
|**| Run single post processor,4.54000,9
|**| Run single post processor,0.09500,0
|**| Run single post processor,0.07900,1
|**| Run single post processor,0.07900,1
|**| Run single post processor,0.04800,1
|**| Run single post processor,0.03200,0
|**| Run single post processor,0.05900,1
|**| Run single post processor,0.03500,0
|**| Run single post processor,0.05600,1
|**| Run single post processor,0.04900,1
|**| Run single post processor,0.04700,1
|**| Run single post processor,0.04600,0
|**| Run single post processor,0.04200,0
|**| Run single post processor,0.04800,1
|**| Run single post processor,0.04800,0
|**| Run single post processor,0.04600,0
|**| Run single post processor,0.03200,0
|**| Run single post processor,0.04500,0
|**| Run single post processor,0.04800,0
|**| Run single post processor,0.04700,1
|**| Run single post processor,0.04800,0
|**| Run single post processor,0.04800,1
|**| Run single post processor,0.04700,0
|**| Run single post processor,0.04800,0
|**| Run single post processor,0.04700,0
|**| Run single post processor,0.04600,0
|**| Run single post processor,0.04900,0
|*\ Summary calculation,2.53500,33
|**| Aggregate hazard summary,2.29000,30
|**| Aggregation summary,0.14200,0
|**| Analysis summary,0.09500,2
